school_id,lat,lon,county_fips,match
00929472,43.187142715554,-77.638949295091,36055,Match
BB081208,40.696743940547,-73.959761884529,36047,Match
A1302210,35.579798154178,-77.3432061135,37147,Match
A2102841,35.144978085572,-80.788012333825,37119,Match
A1902921,36.767915540856,-108.16616578589,35045,Match
A1302214,35.578486250542,-82.586940897774,37021,Match
00908973,35.990502481539,-106.049897181293,35049,Match
BB240281,40.625384934812,-73.996012586522,36047,Match
00931313,40.855304523188,-73.179350097961,36103,Match
A1702434,39.46657143212,-74.459422810156,34001,Match
A1702435,40.604364715834,-74.566491343733,34035,Match
00940259,41.083068246808,-74.062305068217,36087,Match
00941106,42.648526574448,-73.785377452566,36001,Match
A1702437,,,,No_Match
00861365,40.956244715246,-74.130517626131,34003,Match
A0902115,,,,No_Match
A2192313,35.078934603901,-106.631956844762,35001,Match
00862697,40.746191891313,-74.037474722555,34017,Match
00863544,40.830307540715,-74.24616095844,34013,Match
00919613,40.737688662551,-73.993656612343,36061,Match
A2192311,40.098224987268,-74.205214410418,34029,Match
00867902,40.552819158142,-74.371244583839,34023,Match
A2102837,35.212079903778,-81.383560840927,37045,Match
BB240268,40.695308752337,-73.992003180635,36047,Match
A2102832,35.312429663015,-78.617480511078,37085,Match
BB240269,40.706082476127,-73.956958450565,36047,Match
A2102831,35.300602026698,-80.840026531272,37119,Match
BB240266,40.66940803774,-73.972925310337,36047,Match
A1902914,40.072927820894,-74.247282836167,34029,Match
00929483,43.202093131103,-77.57727782875,36055,Match
A0740098,40.772116274034,-73.987610992192,36061,Match
BB240263,40.630422380173,-73.977708261891,36047,Match
A0740097,40.59329351742,-74.110552703667,36085,Match
A1302224,35.421410790276,-77.079474645459,37013,Match
A1902910,,,,No_Match
BB240271,40.680163919254,-73.946356587993,36047,Match
A1302225,35.736760498911,-81.326021098532,37035,Match
A0902122,39.957556777301,-74.904256682803,34005,Match
A1702440,,,,No_Match
00931324,40.89317574866,-72.391579474321,36103,Match
A0902120,,,,No_Match
01010903,36.009931041676,-79.022315363811,37135,Match
A1702445,40.077547326674,-74.252403570759,34029,Match
A1702447,39.973275807476,-74.947139700972,34005,Match
A2192306,40.178327690866,-74.026062686873,34025,Match
A1702442,40.052059909539,-74.206441196861,34029,Match
A1702444,,,,No_Match
A2192304,40.906111330335,-74.409410477293,34027,Match
00939695,40.768961375316,-73.950866962936,36061,Match
00864402,39.497927406647,-74.871767050773,34001,Match
BB963781,40.667541489484,-73.961433735871,36047,Match
A2102428,40.340682637563,-74.696150170382,34021,Match
