Title,Page ID,URL,State,City,County,Extracted State,School Type,Direct Parent Category
"Hayes High School (Birmingham, Alabama)",6583886,"https://en.wikipedia.org/wiki/Hayes_High_School_(Birmingham,_Alabama)","Alabama","Birmingham, Alabama","","Alabama","unknown","High schools in Birmingham, Alabama"
"Hazel Green High School",6352257,"https://en.wikipedia.org/wiki/Hazel_Green_High_School","Alabama","Hazel Green, Alabama","","Alabama","public","Public high schools in Alabama"
"Helena High School (Alabama)",40231599,"https://en.wikipedia.org/wiki/Helena_High_School_(Alabama)","Alabama","Helena, Alabama","","Alabama","public","Public high schools in Alabama"
"Hewitt-Trussville High School",7511477,"https://en.wikipedia.org/wiki/Hewitt-Trussville_High_School","Alabama","Trussville, Alabama","","Alabama","public","Public high schools in Alabama"
"Hillcrest High School (Evergreen, Alabama)",46897466,"https://en.wikipedia.org/wiki/Hillcrest_High_School_(Evergreen,_Alabama)","Alabama","Evergreen, Conecuh County, Alabama","Conecuh County, Alabama","Alabama","public","Public high schools in Alabama"
"Hillcrest High School (Tuscaloosa, Alabama)",9703537,"https://en.wikipedia.org/wiki/Hillcrest_High_School_(Tuscaloosa,_Alabama)","Alabama","Tuscaloosa, Alabama","","Alabama","public","Public high schools in Alabama"
"Hokes Bluff High School",56317947,"https://en.wikipedia.org/wiki/Hokes_Bluff_High_School","Alabama","Hokes Bluff, Alabama","","Alabama","public","Public high schools in Alabama"
"Holt High School (Alabama)",78814045,"https://en.wikipedia.org/wiki/Holt_High_School_(Alabama)","Alabama","Holt, Alabama","","Alabama","public","Public high schools in Alabama"
"Holtville High School",17931166,"https://en.wikipedia.org/wiki/Holtville_High_School","Alabama","Deatsville, Alabama","","Alabama","public","Public high schools in Alabama"
"Holy Family Cristo Rey High School (Birmingham, Alabama)",11138169,"https://en.wikipedia.org/wiki/Holy_Family_Cristo_Rey_High_School_(Birmingham,_Alabama)","Alabama","Birmingham, Alabama","","Alabama","unknown","High schools in Birmingham, Alabama"
"Holy Spirit Catholic School",22163656,"https://en.wikipedia.org/wiki/Holy_Spirit_Catholic_School","Alabama","Tuscaloosa, Alabama","Tuscaloosa County","Alabama","unknown","High schools in Tuscaloosa, Alabama"
"Homewood High School",29284256,"https://en.wikipedia.org/wiki/Homewood_High_School","Alabama","Homewood, Alabama","","Alabama","public","Public high schools in Alabama"
"Hoover High School (Alabama)",4942601,"https://en.wikipedia.org/wiki/Hoover_High_School_(Alabama)","Alabama","Hoover, Alabama","","Alabama","public","Public high schools in Alabama"
"Horseshoe Bend High School",3775634,"https://en.wikipedia.org/wiki/Horseshoe_Bend_High_School","Alabama","New Site, Alabama","","Alabama","public","Public high schools in Alabama"
"Houston Academy",31313950,"https://en.wikipedia.org/wiki/Houston_Academy","Alabama","Dothan, Alabama","","Alabama","private","Preparatory schools in Alabama"
"Hubbertville School",7825037,"https://en.wikipedia.org/wiki/Hubbertville_School","Alabama","Hubbertville, Alabama","Fayette County","Alabama","public","Public K–12 schools in Alabama"
